brand	category	file	status	reason	next_action
maytronics	logo	assets/source-library/brands/maytronics/raw/logos/maytronics-official-logo.svg	approved	Official SVG logo downloaded successfully.	Keep for cleanup/classification.
maytronics	product	assets/source-library/brands/maytronics/raw/products/dolphin-liberty-600-official.png	approved	Official 1090x1090 product image downloaded successfully.	Keep for cleanup/classification.
maytronics	people	assets/source-library/brands/maytronics/raw/people/rafi-benami-official-maytronics.jpg	backup	Official 3072x2614 executive photo, but role/timing identity review is still needed.	Verify person identity and current/historical role before use.
maytronics	event	assets/source-library/brands/maytronics/raw/events/maytronics-corporate-page-candidate.html	backup	Official corporate HTML page captured as source evidence, not a final photo asset.	Extract usable images/source notes during cleanup.
maytronics	evidence	assets/source-library/brands/maytronics/raw/evidence/maytronics-1983-dolphin-timeline.png	approved	Official timeline evidence image downloaded successfully.	Keep for evidence classification.
aiper	logo	assets/source-library/brands/aiper/raw/logos/aiper-prnewswire-logo-candidate.html	backup	PR Newswire page captured; may contain logo/source references but is not a clean logo image.	Parse for image candidates during cleanup.
aiper	product	assets/source-library/brands/aiper/raw/products/aiper-scuba-800-shopify-product.png	backup	1800x1800 Aiper product candidate downloaded from Aiper dealer/product Shopify host; source relationship needs review.	Verify source status and product identity.
aiper	people	medium.com Authority Magazine Richard Wang page	reject	Download failed due connection timeout.	Find alternate accessible portrait/source candidate.
aiper	event	assets/source-library/brands/aiper/raw/events/aiper-ces-2026-official-page.html	backup	Official Aiper CES 2026 HTML page captured; not a final image.	Extract event/booth image candidates during cleanup.
aiper	evidence	assets/source-library/brands/aiper/raw/evidence/aiper-prnewswire-company-page.html	backup	PR Newswire company/news page captured as source evidence.	Parse for specific press releases/images during cleanup.
beatbot	logo	assets/source-library/brands/beatbot/raw/logos/beatbot-prnewswire-logo-candidate.html	backup	PR Newswire release page captured; not a clean master logo image.	Parse for logo/media image candidates during cleanup.
beatbot	product	assets/source-library/brands/beatbot/raw/products/beatbot-aquasense-product-candidate.png	approved	Official Beatbot CDN 1600x1600 product image downloaded successfully.	Keep for product cleanup/classification.
beatbot	people	assets/source-library/brands/beatbot/raw/people/beatbot-founder-36kr-candidate.html	backup	Trusted media page captured for founder/company context; not a portrait file.	Verify names, roles, and extract image candidates if present.
beatbot	event	assets/source-library/brands/beatbot/raw/events/beatbot-booth-36kr-candidate.html	backup	Trusted media page captured for booth/event candidate context.	Extract booth/event images during cleanup if source is usable.
beatbot	evidence	assets/source-library/brands/beatbot/raw/evidence/beatbot-day-prnewswire.html	backup	PR Newswire Beatbot Day page captured as evidence.	Parse for press images and source claims.
dreame	logo	assets/source-library/brands/dreame/raw/logos/dreame-wikimedia-logo.svg	backup	Wikimedia SVG logo downloaded; useful fallback but not official company-hosted.	Compare against official wordmark during cleanup.
dreame	product	assets/source-library/brands/dreame/raw/products/dreame-verge-product-ecosystem-page.html	backup	Trusted media product/ecosystem article captured; not a product image file.	Extract candidate product images/source notes if appropriate.
dreame	people	assets/source-library/brands/dreame/raw/people/yu-hao-xinhua-portrait.png	backup	Xinhua 1265x843 Yu Hao image downloaded; trusted media but identity/context review needed.	Verify identity and role timing.
dreame	event	assets/source-library/brands/dreame/raw/events/dreame-xinhua-founder-story.html	backup	Xinhua source page captured as context/evidence.	Use for verification and possible image sourcing.
dreame	evidence	en.wikipedia.org Dreame Technology page	reject	Download failed due connection reset.	Retry later or use another accessible company evidence source.
roborock	logo	assets/source-library/brands/roborock/raw/logos/roborock-wikimedia-logo.svg	backup	Wikimedia SVG logo downloaded; useful fallback but not official company-hosted.	Compare against official wordmark during cleanup.
roborock	product	assets/source-library/brands/roborock/raw/products/roborock-saros-z70-official.png	approved	Official 1080x1080 Saros Z70 product image downloaded successfully.	Keep for product cleanup/classification.
roborock	people	assets/source-library/brands/roborock/raw/people/roborock-founder-newsroom-page.html	backup	Official newsroom/about HTML captured; not a portrait file.	Extract and verify founder/leadership image candidates.
roborock	event	assets/source-library/brands/roborock/raw/events/roborock-ces-2024-official-page.html	backup	Official CES 2024 page captured; source page not final image.	Extract booth/event/product images during cleanup.
roborock	evidence	assets/source-library/brands/roborock/raw/evidence/roborock-ces-2024-press-release-page.html	backup	Official CES 2024 press release page captured.	Use for evidence/source claims and image extraction.
dyson	logo	assets/source-library/brands/dyson/raw/logos/dyson-official-logo.svg	approved	Official Dyson SVG logo downloaded successfully.	Keep for cleanup/classification.
dyson	product	assets/source-library/brands/dyson/raw/products/dyson-dc07-wikimedia-product.jpg	backup	Wikimedia historical Dyson product image downloaded; not current V16 product.	Use only for history context if approved later.
dyson	people	assets/source-library/brands/dyson/raw/people/james-dyson-wikimedia-portrait.jpg	backup	High-resolution Wikimedia James Dyson portrait downloaded; trusted fallback but not official Dyson-hosted.	Verify licensing/source and compare with official press source.
dyson	event	en.wikipedia.org James Dyson page	reject	Download failed due connection reset.	Retry later or find official Dyson source page.
dyson	evidence	en.wikipedia.org Dyson company page	reject	Download failed due connection reset.	Retry later or find official Dyson company evidence page.
irobot	logo	assets/source-library/brands/irobot/raw/logos/irobot-media-kit-logo-black-print.jpg	backup	Official iRobot Press Center logo downloaded, but only 360x100.	Use as fallback; search for higher-resolution logo later.
irobot	product	assets/source-library/brands/irobot/raw/products/irobot-roomba-max-705-media-kit-black.jpg	approved	Official iRobot Press Center 2048x2048 product photo downloaded successfully.	Keep for product cleanup/classification.
irobot	people	businessinsider.com Colin Angle page	reject	Download failed due connection timeout.	Find alternate accessible Colin Angle portrait/source.
irobot	event	assets/source-library/brands/irobot/raw/events/irobot-media-kit-home-robots-page.html	backup	Official iRobot home robots media-kit page captured.	Extract additional product/event assets during cleanup.
irobot	evidence	assets/source-library/brands/irobot/raw/evidence/irobot-media-kit-logo-page.html	backup	Official iRobot logo media-kit page captured.	Use as source proof for logo candidates.
sharkninja	logo	assets/source-library/brands/sharkninja/raw/logos/sharkninja-ir-logo-white.svg	approved	Official SharkNinja IR logo downloaded successfully; prior technical note says SVG embeds PNG.	Keep for cleanup/classification with technical note.
sharkninja	product	assets/source-library/brands/sharkninja/raw/products/shark-powerdetect-cordless-official.png	backup	Official product image downloaded but only 414x414 and includes lockup.	Keep as reference/body candidate; look for stronger product photo later.
sharkninja	people	assets/source-library/brands/sharkninja/raw/people/mark-barrocas-verge-portrait.png	backup	Trusted media 1822x1839 Mark Barrocas portrait downloaded; not official company-hosted.	Verify caption/source and role timing before use.
sharkninja	event	assets/source-library/brands/sharkninja/raw/events/sharkninja-verge-interview-page.html	backup	Trusted media interview page captured as press/evidence source.	Use for source context; not an event photo.
sharkninja	evidence	ir.sharkninja.com overview page	reject	Download failed with 403.	Use existing downloaded IR logo and retry IR page later if needed.
