brand	type	filename	url	source_note
maytronics	logos	maytronics-official-logo.svg	https://www.maytronics.com/on/demandware.static/-/Sites-MTCORPORATE-Library/default/dw942b7ee4/images/footer/footer-logo.svg	Official Maytronics website footer logo
maytronics	people	rafi-benami-official-maytronics.jpg	https://www.maytronics.com/dw/image/v2/BGGP_PRD/on/demandware.static/-/Sites-MTCORPORATE-Library/default/dw40a83335/Corporate/Rafi.jpg	Official Maytronics corporate executive image
maytronics	products	dolphin-liberty-600-official.png	https://www.maytronics.com/dw/image/v2/BGGP_PRD/on/demandware.static/-/Library-Sites-MaytronicsSharedLibrary/default/dwe065703d/New_WOW_Pages/EP_Dolphin_LIBERTY600_1_big.png	Official Maytronics Dolphin LIBERTY 600 product image
maytronics	evidence	maytronics-1983-dolphin-timeline.png	https://www.maytronics.com/dw/image/v2/BGGP_PRD/on/demandware.static/-/Sites-MTCORPORATE-Library/default/dw6f4743ab/Corporate%20/Timeline/Frame%2026%20%284%29.png	Official Maytronics timeline evidence image
aiper	logos	aiper-official-logo-white.webp	https://d1ynqtbpih48ow.cloudfront.net/assets/images/2026/01/EN-white-logo-com-PC.webp	Official Aiper homepage logo lockup
aiper	products	aiper-experts-duo-official.webp	https://d1ynqtbpih48ow.cloudfront.net/assets/images/2026/02/newhome-product-Aiper-Experts-Duo-pc.webp	Official Aiper Experts Duo product image from Aiper homepage
aiper	products	aiper-scuba-v3-official.webp	https://d37n9tvxdh0i74.cloudfront.net/20260106/1767680603760home-product-n31-pc.webp	Official Aiper Scuba V3 product image from Aiper homepage
aiper	evidence	aiper-ces-2026-official-event.webp	https://d1ynqtbpih48ow.cloudfront.net/assets/images/2026/01/ces-banner-bottom-video-1-poster.webp	Official Aiper CES 2026 event image from Aiper homepage
beatbot	logos	beatbot-official-logo-prime-banner.webp	https://beatbot.com/cdn/shop/files/2026_Prime_Day_Top_Banner_Logo_result_webp_1.webp?v=1780896881&width=400	Downloaded and rejected after review: Prime Day activity graphic, not a clean Beatbot master logo
beatbot	products	beatbot-aquasense-x-official.webp	https://beatbot.com/cdn/shop/files/20251218-172137.webp?height=1600&v=1766051843	Official Beatbot AquaSense X product image from Beatbot homepage
beatbot	products	beatbot-aquasense-2-ultra-official.png	https://beatbot.com/cdn/shop/files/2_Ultra_New.png?v=1760500268&width=880	Official Beatbot AquaSense 2 Ultra product image from Beatbot homepage
beatbot	evidence	beatbot-aquasense-x-bundle-official.webp	https://beatbot.com/cdn/shop/files/Bundle-1_1_600x600.webp?v=1778307913	Official Beatbot AquaSense X bundle image from Beatbot homepage
dreame	logos	dreame-official-logo-ellipse.png	https://cdn.shopify.com/s/files/1/0553/1320/3405/files/dreame_ellipse.png?v=1755076364	Downloaded but rejected for final use: 48x48 cropped compact mark, clean Dreame wordmark still needed
dreame	products	dreame-x60-vs-x50-official.webp	https://www.dreametech.com/cdn/shop/files/X60-vs-X50-robot-vacuums-comparison_1600x.webp?v=1775027028	Official Dreame X60 versus X50 comparison image from Dreame homepage insights
roborock	products	roborock-saros-z70-official.png	https://us.roborock.com/cdn/shop/files/Saros_Z70_Silver_ID_Home.png?v=1757558477	Official Roborock Saros Z70 product image from Roborock homepage
roborock	products	roborock-saros-10r-official.jpg	https://us.roborock.com/cdn/shop/files/PC_Saros_10R_d4c02f55-556b-420c-9917-7c6fa9404383.jpg?v=1779689331	Official Roborock Saros 10R product image from Roborock homepage
roborock	evidence	roborock-product-lineup-official.jpg	https://us.roborock.com/cdn/shop/files/PC_GT_PE_Curv_Talc_Logo.jpg?v=1758709853	Official Roborock product lineup image from Roborock homepage
dyson	logos	dyson-official-logo.svg	https://www.dyson.com/etc.clientlibs/dyson/clientlibs/clientlib-main/resources/images/dyson-logo.svg	Official Dyson website logo
dyson	products	dyson-v16-piston-animal-official.png	https://www.dyson.com/content/dam/dyson/motifs/master/fc/piston-animal/piston-animal-ds60-dark.png	Downloaded and rejected after review: V16 Piston Animal text lockup, not a product photo
irobot	logos	irobot-official-logo.svg	https://www.irobot.com/on/demandware.static/Sites-iRobotUS-Site/-/default/dwfe2dcc01/images/irobot-logo.svg	Official iRobot website logo
irobot	products	irobot-roomba-max-705-official.png	https://www.irobot.com/dw/image/v2/BFXP_PRD/on/demandware.static/-/Sites-site-catalog-irobot/default/dw3b48489b/705-series.png?fmt=auto&sw=300	Official iRobot Roomba Max 705 product image from iRobot homepage
irobot	evidence	irobot-2026-homepage-banner-official.jpg	https://www.irobot.com/dw/image/v2/BFXP_PRD/on/demandware.static/-/Library-Sites-iRobotSharedLibrary/default/dw455d1109/North-America/Page-Designer-Images/Hero-Banner/2026/Roomba_Plus_405_Combo_Max_705_Vac_2026_FathersDay_Homepage_Banner_Desktop_3000x1000.jpg?fmt=auto&sw=1440	Official iRobot 2026 homepage banner, useful as evidence not cover
sharkninja	logos	shark-official-logo.svg	https://www.sharkninja.com/on/demandware.static/-/Library-Sites-NA-SharkNinja-SharedLibrary/default/dw94b7d6de/footer-social-icon/shark-logo.svg	Official Shark logo from SharkNinja footer
sharkninja	logos	ninja-official-logo.svg	https://www.sharkninja.com/on/demandware.static/-/Library-Sites-NA-SharkNinja-SharedLibrary/default/dw0c7fcfce/footer-social-icon/ninja-logo.svg	Official Ninja logo from SharkNinja footer
sharkninja	logos	sharkninja-official-ir-logo-white.svg	https://s202.q4cdn.com/977000893/files/design/sharkninja-white-1.svg	Official SharkNinja group logo from SharkNinja investor relations site
sharkninja	products	shark-powerdetect-cordless-official.png	https://assets.sharkninja.com/image/upload/v1768422157/storefront/Compare%20Charts/Cordless/IP1251_Hero_Logo.png	Official Shark PowerDetect product image from SharkNinja comparison table
sharkninja	evidence	shark-powerdetect-duoclean-official.jpg	https://assets.sharkninja.com/image/upload/dpr_1.0%2Cf_auto%2Cq_60/v1/storefront/products/IP3251/DT/IP3251-Content-Highlights1-01-DuoCleanDetect-Desktop-1224x918_svrnp8?_i=AH	Official Shark PowerDetect DuoClean feature image from SharkNinja product page
